"Check Data","Check Data"
"Process Identity is not set.","Process Identity is not set."
"Entity Code and Source Type are required","Entity Code and Source Type are required"
"Requested Process Identity not found.","Requested Process Identity not found."
"Amasty Import","Amasty Import"
Import,Import
"Process Started","Process Started"
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Something went wrong. Please try again.","Something went wrong. Please try again."
"Import process was terminated.","Import process was terminated."
"The data preparation is completed.","The data preparation is completed."
"The data is being filtered.","The data is being filtered."
"The data is being mapped.","The data is being mapped."
"Empty data batch has been read.","Empty data batch has been read."
"The data is being read.","The data is being read."
"The data is being validated.","The data is being validated."
"Started importing ""%1"" with ""%2"" behavior.","Started importing ""%1"" with ""%2"" behavior."
"The data has been imported.","The data has been imported."
"No entity metadata or entity table found.","No entity metadata or entity table found."
"Entity ""%1"" already exists.","Entity ""%1"" already exists."
"Fields Class %1 doesn't implement %2 interface","Fields Class %1 doesn't implement %2 interface"
Append,Append
Capitalize,Capitalize
"Capitalize Each Word","Capitalize Each Word"
"Date Format","Date Format"
"Default Value","Default Value"
"Option Label To Option Value","Option Label To Option Value"
"Empty to Null","Empty to Null"
Explode,Explode
"Lower Case","Lower Case"
Map,Map
"Absolute Value","Absolute Value"
Ceil,Ceil
"Divided By","Divided By"
Floor,Floor
Minus,Minus
Modulo,Modulo
"Multiplied By","Multiplied By"
Plus,Plus
"Price in Base Currency","Price in Base Currency"
"Round To","Round To"
Truncate,Truncate
Prepend,Prepend
Replace,Replace
"Replace First","Replace First"
"Store Code to Store Id","Store Code to Store Id"
"Store Is to Store Code","Store Is to Store Code"
Trim,Trim
"Strip Html Tags","Strip Html Tags"
Unserialize,Unserialize
Uppercase,Uppercase
"Website Code to Website Id","Website Code to Website Id"
"Custom Modifiers","Custom Modifiers"
"Text Modifiers","Text Modifiers"
"Numeric Modifiers","Numeric Modifiers"
"Date Modifiers","Date Modifiers"
"File Path","File Path"
"Use relative path to Magento installation, e.g. var/import/export.csv.","Use relative path to Magento installation, e.g. var/import/export.csv."
"Select File To Import","Select File To Import"
"Select the File","Select the File"
"Make sure your file isn't more than %1M and it is saved in UTF-8 encoding for proper import.","Make sure your file isn't more than %1M and it is saved in UTF-8 encoding for proper import."
is,is
"is not","is not"
"more or equal","more or equal"
"less or equal","less or equal"
"greater than","greater than"
"less than","less than"
"is null","is null"
"is not null","is not null"
"last X days","last X days"
"last X weeks","last X weeks"
"Enter one value per line.","Enter one value per line."
like,like
"is one of","is one of"
"is not one of","is not one of"
label,label
"Fields Configuration","Fields Configuration"
"Custom Entity Key","Custom Entity Key"
Enabled,Enabled
"Entity Key","Entity Key"
"An additional name that is placed before the column name.","An additional name that is placed before the column name."
"Map %1 Fields","Map %1 Fields"
"Map Selected Fields","Map Selected Fields"
"Map Fields","Map Fields"
"Delete Table","Delete Table"
"Import File","Import File"
"Import Source","Import Source"
"Please Select...","Please Select..."
"Images File Directory","Images File Directory"
"Use relative path to Magento installation, e.g. var/import.","Use relative path to Magento installation, e.g. var/import."
"Wrong file resolver form class: %1","Wrong file resolver form class: %1"
Filter,Filter
"Only those fields that are included into mapping can be used for filtering.","Only those fields that are included into mapping can be used for filtering."
"Add Filter","Add Filter"
"Import Behavior","Import Behavior"
"Validation Strategy","Validation Strategy"
"Allowed Errors Count","Allowed Errors Count"
"Please specify number of errors to halt import process.","Please specify number of errors to halt import process."
"Import File Type","Import File Type"
"Wrong source form class: %1","Wrong source form class: %1"
"%1 entity validation failed:","%1 entity validation failed:"
"There appears to be no records to import. Please check your filtering conditions.","There appears to be no records to import. Please check your filtering conditions."
"As a result of filtering, the following line numbers were skipped: %1.","As a result of filtering, the following line numbers were skipped: %1."
"Something went wrong while import. Please review logs","Something went wrong while import. Please review logs"
"Something went wrong while import","Something went wrong while import"
"Stop On Error","Stop On Error"
"Skip Error Entries","Skip Error Entries"
"Source doesn't have sample file generator.","Source doesn't have sample file generator."
"Entity Fields Config is empty.","Entity Fields Config is empty."
"Entity doesn't have sample data.","Entity doesn't have sample data."
"Download Sample File","Download Sample File"
"Rows Merged into One","Rows Merged into One"
"Please enable the setting if you have data from multiple rows merged into one cell.","Please enable the setting if you have data from multiple rows merged into one cell."
"Merged Rows Data Delimiter","Merged Rows Data Delimiter"
