Delete,Delete
"Are you sure you want to delete this?","Are you sure you want to delete this?"
"Save and Continue Edit","Save and Continue Edit"
Save,Save
"Product ""Same As"" Condition","Product ""Same As"" Condition"
Conditions,Conditions
"Product Condition","Product Condition"
"Choose the conditions to define the products that will be displayed in the ""related items"" block.","Choose the conditions to define the products that will be displayed in the ""related items"" block."
"Product Conditions","Product Conditions"
"Choose the conditions to define the products the ""related items"" block will be displayed for.","Choose the conditions to define the products the ""related items"" block will be displayed for."
Installed,Installed
"Not Installed","Not Installed"
"To configure the rules please go to Catalog -> Amasty Related Products -> ","To configure the rules please go to Catalog -> Amasty Related Products -> "
"Related Product Rules","Related Product Rules"
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"The extension code has been completely renovated in v2.0.0. After update all the rules created previously become disabled. Please recheck the rules configuration before enabling them.","The extension code has been completely renovated in v2.0.0. After update all the rules created previously become disabled. Please recheck the rules configuration before enabling them."
"Enable customers-also-viewed-graphql module to activate GraphQl and Automatic Related Products integration. Please, run the following command in the SSH: composer require amasty/customers-also-viewed-graphql","Enable customers-also-viewed-graphql module to activate GraphQl and Automatic Related Products integration. Please, run the following command in the SSH: composer require amasty/customers-also-viewed-graphql"
"Related Products","Related Products"
"We can't change item right now. Please review the log and try again.","We can't change item right now. Please review the log and try again."
"A total of %1 record(s) have been changed.","A total of %1 record(s) have been changed."
"No records have been changed.","No records have been changed."
"The pack have been deleted.","The pack have been deleted."
"Can't delete item right now. Please review the log and try again.","Can't delete item right now. Please review the log and try again."
"This Bundle Pack no longer exists.","This Bundle Pack no longer exists."
"Manage Bundle Pack","Manage Bundle Pack"
"Edit Bundle Pack # %1","Edit Bundle Pack # %1"
"New Bundle Pack","New Bundle Pack"
"Bundle Packs","Bundle Packs"
"Something went wrong while saving the item.","Something went wrong while saving the item."
"Please correct the data sent.","Please correct the data sent."
"We can't delete item right now. Please review the log and try again.","We can't delete item right now. Please review the log and try again."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"No records have been deleted.","No records have been deleted."
"A total of %1 record(s) have been duplicated.","A total of %1 record(s) have been duplicated."
"The Bundle Pack was successfully saved.","The Bundle Pack was successfully saved."
"Something went wrong while saving the pack data. Please review the error log.","Something went wrong while saving the pack data. Please review the error log."
"Invalid value provided for the Discount Amount field. Please enter a valid value between 0 and 100","Invalid value provided for the Discount Amount field. Please enter a valid value between 0 and 100"
"The rule have been deleted.","The rule have been deleted."
"This rule no longer exists.","This rule no longer exists."
"Manage Related Product Rule","Manage Related Product Rule"
"Edit Related Product Rule # %1","Edit Related Product Rule # %1"
"New Related Product Rule","New Related Product Rule"
"The Rule was successfully saved","The Rule was successfully saved"
"Something went wrong while saving the rule data. Please review the error log.","Something went wrong while saving the rule data. Please review the error log."
"We can't add these items to your shopping cart right now. Please reload the page.","We can't add these items to your shopping cart right now. Please reload the page."
"You added products to your shopping cart.","You added products to your shopping cart."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
Grid,Grid
Slider,Slider
"Please select an option","Please select an option"
"---------    Product Page    ---------","---------    Product Page    ---------"
"Before Native Related Block","Before Native Related Block"
"After Native Related Block","After Native Related Block"
"Add into Native Related Block","Add into Native Related Block"
"Before Native Up-sells Block","Before Native Up-sells Block"
"After Native Up-sells Block","After Native Up-sells Block"
"Add into Native Up-sells Block","Add into Native Up-sells Block"
"Content Top","Content Top"
"Into Native Tab Block","Into Native Tab Block"
"Before Native Tab Block","Before Native Tab Block"
"Content Bottom","Content Bottom"
"Sidebar Top","Sidebar Top"
"Sidebar Bottom","Sidebar Bottom"
"--------- Shopping Cart Page ---------","--------- Shopping Cart Page ---------"
"Before Native Cross-sells Block","Before Native Cross-sells Block"
"After Native Cross-sells Block","After Native Cross-sells Block"
"Add into Native Cross-sells Block","Add into Native Cross-sells Block"
"---------    Category Page   ---------","---------    Category Page   ---------"
"---------        Other        ---------","---------        Other        ---------"
"Custom Position","Custom Position"
"Product Page","Product Page"
"Shopping Cart Page","Shopping Cart Page"
"Category Page","Category Page"
Fixed,Fixed
Percentage,Percentage
"Below Product Info","Below Product Info"
"Product Tab","Product Tab"
Disabled,Disabled
"Replace Manually Added Products","Replace Manually Added Products"
"Append to Manually Added Products","Append to Manually Added Products"
Custom,Custom
"-- Empty --","-- Empty --"
Random,Random
Name,Name
"Price: high to low","Price: high to low"
"Price: low to high","Price: low to high"
Newest,Newest
"Only Product Conditions","Only Product Conditions"
"Viewed Together","Viewed Together"
"Bought Together","Bought Together"
Inactive,Inactive
Active,Active
No,No
"Display First","Display First"
"Display Last","Display Last"
"Unable to save analytic with ID %1. Error: %2","Unable to save analytic with ID %1. Error: %2"
"Unable to save new analytic. Error: %1","Unable to save new analytic. Error: %1"
"Analytic with specified ID ""%1"" not found.","Analytic with specified ID ""%1"" not found."
"Unable to remove analytic with ID %1. Error: %2","Unable to remove analytic with ID %1. Error: %2"
"Unable to remove analytic. Error: %1","Unable to remove analytic. Error: %1"
"Unable to save click with ID %1. Error: %2","Unable to save click with ID %1. Error: %2"
"Unable to save new click. Error: %1","Unable to save new click. Error: %1"
"Click with specified ID ""%1"" not found.","Click with specified ID ""%1"" not found."
"Unable to remove click with ID %1. Error: %2","Unable to remove click with ID %1. Error: %2"
"Unable to remove click. Error: %1","Unable to remove click. Error: %1"
"Unable to save group with ID %1. Error: %2","Unable to save group with ID %1. Error: %2"
"Unable to save new group. Error: %1","Unable to save new group. Error: %1"
"Group with specified ID ""%1"" not found.","Group with specified ID ""%1"" not found."
"Unable to remove group with ID %1. Error: %2","Unable to remove group with ID %1. Error: %2"
"Unable to remove group. Error: %1","Unable to remove group. Error: %1"
"Unable to save pack with ID %1. Error: %2","Unable to save pack with ID %1. Error: %2"
"Unable to save new pack. Error: %1","Unable to save new pack. Error: %1"
"Pack with specified ID ""%1"" not found.","Pack with specified ID ""%1"" not found."
"Unable to remove pack with ID %1. Error: %2","Unable to remove pack with ID %1. Error: %2"
"Unable to remove pack. Error: %1","Unable to remove pack. Error: %1"
"Unable to save view with ID %1. Error: %2","Unable to save view with ID %1. Error: %2"
"Unable to save new view. Error: %1","Unable to save new view. Error: %1"
"View with specified ID ""%1"" not found.","View with specified ID ""%1"" not found."
"Unable to remove view with ID %1. Error: %2","Unable to remove view with ID %1. Error: %2"
"Unable to remove view. Error: %1","Unable to remove view. Error: %1"
Price,Price
" Current Product Price"," Current Product Price"
"same as Current Product ","same as Current Product "
"Please choose a condition to add.","Please choose a condition to add."
"Custom Fields","Custom Fields"
"Product Attribute","Product Attribute"
"Amasty Related Products Settings was not fully converted","Amasty Related Products Settings was not fully converted"
Cross-Sells,Cross-Sells
Up-Sells,Up-Sells
Edit,Edit
"Delete ${ $.$data.name }","Delete ${ $.$data.name }"
"Are you sure you wan't to delete a ${ $.$data.name } pack?","Are you sure you wan't to delete a ${ $.$data.name } pack?"
