This is a required field.,Este es un campo obligatorio.
Thanks for contacting us with your comments and questions. We'll respond to you very soon.,Gracias por contactarnos con sus comentarios y preguntas. Le responderemos pronto.
Please type the letters and numbers below,"Por favor, introduzca las siguientes letras y números"
Jot us a note and we’ll get back to you as quickly as possible.,Escríbanos un mensaje y nos pondremos en contacto con usted lo antes posible.
What’s on your mind?,¿Qué tienes en mente?
Contact,Contacte con
Please enter a valid email address (Ex: johndoe@domain.com).,"Por favor, introduzca una dirección de correo electrónico válida (por ejemplo: johndoe@domain.com)."
You are signed out,Se ha desconectado
You have signed out and will go to our homepage in 5 seconds.,Se ha desconectado y será dirigido a nuestra página web en 5 segundos.
Forgot Your Password,Contraseña olvidada
Please enter your email address below to receive a password reset link.,"Por favor, introduzca su dirección de correo electrónico a continuación para recibir un enlace para restablecer su contraseña."
Address suffix,Sufijo de la dirección
street and house number,calle y número de la casa
Account Information,Información de la cuenta
Change Email,Cambiar la dirección de correo electrónico
Product details,Detalles del artículo
Qty,Cantidad
Required Fields,campos obligatorios
"If you have an account, sign in with your email address.","Si tiene una cuenta, inicie sesión con su dirección de correo electrónico."
Add to Wish List,En el bloc de notas
Load more ...,carga más...
More from the collection,Más de la colección
Other customers also brought,Otros clientes también compraron
keyword,Buscar palabra clave
My Account,Mi tablero de mandos
You aren't subscribed to our newsletter.,No está registrado para nuestro boletín de noticias.
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","La creación de una cuenta tiene muchas ventajas: un proceso de compra más rápido, más de una dirección para recordar, seguimiento de pedidos y más."
My Wishlist,Mi lista de deseos
Go to Product,Al producto
Go to Wish List,ir a la lista de deseos
Wish List Sharing,Comparte tu lista de deseos
Sharing Information,Compartir información
"Email addresses, separated by commas","Direcciones de correo electrónico, separadas por comas"
Share Wish List,Comparte tu lista de deseos
*Required Fields,* campos obligatorios
Save Address,Añade la dirección
Apply Discount Code,Aplicar el código de descuento
Enter discount code,Introduzca el código de descuento
Estimate Shipping and Tax,Impuestos y gastos de envío estimados
Shipment,Tarifa plana de envío
Shipping,Tarifa plana de envío
Order overview,Resumen de la orden
Please enter your details below to complete your purchase.,"Por favor, introduzca sus datos a continuación para completar su compra."
By using this form you agree with the storage and handling of your data by this website.,"Al usar este formulario, acepto el almacenamiento y procesamiento de mis datos por este sitio web."
Variants,Variantes
My account,Mi cuenta
My Wishlist,Mi lista de deseos
Register,Crear una cuenta
Login,Ingresa en
Sign out,Desconecta.
The requested qty exceeds the maximum qty allowed in shopping cart,La cantidad deseada excede la cantidad máxima permitida.
Please enter your details below to complete your purchase.,"Por favor, introduzca sus datos a continuación para completar su compra."
Already have an account? Click here to login,¿Ya tienes una cuenta? Haga clic aquí para iniciar sesión
Create account,Crear una nueva cuenta
Show more item details,Mostrar más detalles del artículo
Find the matching chain here,Encuentra la cadena correcta aquí
Move to Wishlist,Muévete a la lista de deseos
Go to product,Al producto
learn more,Aprende más...
Cancel,Cancelar
The requested qty is not available,La cantidad deseada supera la cantidad máxima permitida
Order summary,resumen del pedido
"This website uses cookies to provide you with the best possible service and website functionality, and to provide social media features and analyse the traffic to our website. If you continue to use our website, you agree to our using cookies..","Este sitio web utiliza cookies para proporcionarle el mejor servicio y funcionalidad posible del sitio, para ofrecer funciones de medios sociales y para analizar el tráfico en nuestro sitio web. Usted consiente en nuestras cookies si continúa usando nuestro sitio web."
More Information,Más información
Less Information,Menos información
I accept,Entendido
The confirmation request has been sent.,"Ya casi termino... Necesitamos confirmar su dirección de correo electrónico. Para completar el registro, por favor haga clic en el enlace del correo electrónico que le acabamos de enviar."
Proceed to Checkout,Ve a la caja.
Related Posts,puestos relacionados
Apply Gift Card Code,Usar la tarjeta de regalo
Check Gift Card status,Comprobar el estado
Wrong Gift Card Code.,Código de cupón equivocado.
Sign up for the newsletter,Suscríbete al boletín de noticias
Subscribe to our newsletter and receive information on new articles and offers to stay up to date,Suscríbete a nuestro boletín de noticias y recibe información sobre nuevos artículos y ofertas para estar al día
Card Value in %1,Valor del mapa
Choose card Image,Seleccione una imagen
Date of Certificate Delivery,Fecha de envío
Select timezone,Seleccione una zona horaria
Preview Gift Card,Tarjeta de regalo de vista previa
From %1,de %1
Dear,Estimado señor o señora
purchased a,compró un
gift card for you at,Tarjeta de regalo para ti en
Please find below message from,"Por favor, encuentre el mensaje de"
Please use the following gift card code at,"Por favor, use el siguiente código de cupón para"
Look forward to seeing you at our store.,Esperamos su compra en nuestra tienda.
Gift Card Recipient Name,Estimado destinatario de la tarjeta de regalo
Your Name,Tu nombre.
Additional message for Gift Card,Mensaje adicional para el bono de regalo
Hello %,Hola %
"Hello %name,","Hola, %nombre,"
We’re here to confirm your forgotten shopping cart at our shop recently. Do those items still have a warm place in your wish list?,Nos gustaría llamar su atención sobre los productos que aún están en su carrito de compras. ¿Todavía quieres comprarlos o añadirlos a tu lista de deseos?
Your cart here,Al carro de la compra
Please come back soon if you need anything from our service. %,"Por favor, vuelva pronto si necesita alguno de nuestros servicios. %"
Please come back soon if you need anything from our service.,"Por favor, vuelva pronto si necesita alguno de nuestros servicios."
is looking forward to hearing your confirmation soon.,está esperando su confirmación.
Please come back soon if you need anything from our service. %store_name is looking forward to hearing your confirmation soon.,"Por favor, vuelva pronto si necesita alguno de nuestros servicios. %store_name está esperando tu pronta confirmación."
We truly appreciate the time you spending with us.,Apreciamos el tiempo que pasas con nosotros.
We are leaving this coupon <b>%couponCode</b> as our special discount.,Use este cupón <b>%couponCode</b> como descuento especial para su compra.
It will be valid to %to,Se aplica hasta %a
%store_name is conserving your shopping list,%nombre_de_la_tienda guarda su lista de compras
2-3 Days,2-3 días
Already Customer,Ya es cliente
The item has been successfully added to cart,El artículo se añadió con éxito al carrito de la compra
Do you need a necklace for this article? click here,"¿Necesitas una cadena para este artículo? Por favor, haga clic aquí"
View Shopping Cart,Mostrar la cesta de la compra
Continue shopping,Sigue comprando.
Specify Gift Code,Introduzca el código de la tarjeta de regalo
My Wish List,Mi lista de deseos
Update Wish List,Actualizar la lista de deseos
%1 has been added to your Wish List.,%1 fue agregado a su lista de deseos.
